address,total_eth_volume,tier
0x625dcf6e65ddafdea28cdc2af25478df045e9c1b,21187.1,Whale
0x264bd8291fae1d75db2c5f573b07faa6715997b5,21158.65,Whale
0x7fa9a18f72955a15f1e2d94ddf0a6d0485b1debb,21146.03,Whale
0x70e1fc72de740a9353bd9c4674af192f40a24540,21044.03,Whale
0xfb69c96a9980688ca04c9d0a76d68507e67c91b2,21019.07,Whale
0x4e67722883ad992182e83b79bf06a93972963cac,20968.36,Whale
0x4bf9663370a10a8ddef5f68748700e1fbe3ee8c8,20939.33,Whale
0x462a336dcac6eaf544106266914caa5a18b831d0,20916.0,Whale
0xffe15ff598e719d29dfe5e1d60be1a5521a779ae,20816.73,Whale
0x55ea3e38fa0aa495b205fe45641a44ccc1c3df26,20767.23,Whale
0x3c7201f61c491ae4772138fe150008d546c450d9,20758.58,Whale
0x2f341081134d62f24d4f3a7ca36632d44a208c88,20622.23,Whale
0x1778767436111ec0adb10f9ba4f51a329d0e7770,20606.57,Whale
0x30f2864e7bf6e89a3955217c78c8689594228940,20588.53,Whale
0x44894aeee56c2dd589c1d5c8cb04b87576967f97,20512.0,Whale
0x78dea3b66277b94b246b5f5898108a0476599158,20364.98,Whale
0xda56319e71d38d14cb1b4126401a21867b946a0f,20249.81,Whale
0xc7d3c88077d07b9ede6acd2060e5dacbcf08e668,20043.46,Whale
0x2b7afdc88f7c203807a45280cb5b4cf53fd57862,20000.0,Whale
0x243e02eaf194a757577e9a4eeaf63478b06f586f,19800.0,Whale
0x2910618f07ab1b0953ee89a5096b918fca1c04da,19800.0,Whale
0x5664000451f9249527ed1e11359728cc86b86150,19800.0,Whale
0x6a9bb979e653db8f98f467eabb79d24262265837,19800.0,Whale
0x0e0d36c115f66a08958756d860e16b2fbe5aadbf,19800.0,Whale
0xfc5e6f1c3c5c8fc2ebdc9321ec6eea4e57f5c185,19800.0,Whale
0x3bde173c3c2102f534eba8d7bd983456515ba3f9,19721.44,Whale
0x5e90387025235d07576f80c76b3e57ec96547ec4,19360.5,Whale
0xe839a3e9efb32c6a56ab7128e51056585275506c,19217.0,Whale
0xc3fa6be47ffeeccc39b74bc7fdc4815822494195,19200.0,Whale
0x92ea7496eba5f001d620005f88f3e8e686e3d4ea,19192.66,Whale
0x5797f722b1fee36e3d2c3481d938d1372bcd99a7,19181.93,Whale
0x8e5a6e6fb4926284774a437241769f9b30c2f743,19104.66,Whale
0xf0937fbfad93c7b1717e6c3f03fff560530c1d29,19000.0,Whale
0xe7f1c19c6535b42351561b8fa4c8b43098952cf1,18999.14,Whale
0x4eb66a9efbf201630f0da020a13287feeff28bfd,18911.9,Whale
0x11f8149419ffdf48b67388dd5024dec89b1bdc7d,18558.59,Whale
0x5e451d7b5d16882358e9dfafa0303529552f44e9,18520.0,Whale
0x3cdf67e6910c7a06c850082ee7d0d7c4e8fb8836,18472.95,Whale
0xfc82b4225120db7c257ad8c69a8cf07319bfb88b,18445.4,Whale
0x60ee65b8f7f1b0e9dbec7bf7d3d0c43abba020e7,18118.0,Whale
0x42a178633240601d3485e1f51d8b62ea58c9b5ae,17977.44,Whale
0x002cf36badd53a680feebefd17fbeb7fa72105d4,17827.92,Whale
0xf737eac069e9c206bdc3724789ad0460c44bf141,17706.0,Whale
0x590e5c4ebf936f76c31acf2b4905154041dcc84b,17638.48,Whale
0x5ac59b8e3e03b97f1ec63c3b242a64a1d0349891,17550.0,Whale
0xbe776ae2e62ed017fce5c7c9f4125626d4bc5ae9,17502.24,Whale
0xccc1143090ab5eeac528104a39c0bd1e1c4b4116,17423.73,Whale
0x27bffb0f09c18539f9a47a39958bb149fe42a155,17393.88,Whale
0x4e5b2e1dc63f6b91cb6cd759936495434c7e972f,17384.59,Whale
0x47b869d84df9ee2a04dd546ae4c79d80508ae0a9,17325.33,Whale
0xab4f2fdca7521012edfee6e916778c6dae719bd3,17260.36,Whale
0x2d880ccc788aaa6dbdeaad3b585f8c533c6be54c,17250.09,Whale
0xd11155a3912ac009b3a35aa42cc51ce42edf9262,17105.73,Whale
0x7358318a557d7cd64a72e7a40a0d2eae686e9327,17078.84,Whale
0xc37362927fe05aba72c533e23f97781ebb0877b7,16971.99,Whale
0x679223eab9da16bdbf5b5d21a429a14c4f664cfa,16892.13,Whale
0xafc8bc72c756ddc1957b276f5fbcb989dad93730,16714.53,Whale
0xdef8baf79424fc63744dd3f99b33c16a01ce7235,16676.49,Whale
0x26ad4f84cd20102c4a7fb9d14bd2661a0d66f96d,16647.7,Whale
0xda66402fe3661146561b0ff5818bea6405db15ec,16548.14,Whale
0xacc74cfaa8ad730194c1828cc179c78d5c08200e,16444.96,Whale
0x297276bac275befc0f531fc796ff7edf3959f172,16435.79,Whale
